,quantity,slug,_id,name,price,sellerId,selectedVariation.color.name,selectedVariation.color.hex,selectedVariation.images,selectedVariation._id,selectedVariation.size,selectedVariation.stockTecidos,selectedVariation.tecidos._id,selectedVariation.tecidos.tecidosImages,selectedVariation.tecidos.name,associatedProduct,createdAt
924,1,short-comphy-em-linho,61409be423709700183745b4,Short Comphy em Linho,15800,5caf95599eebb200176e2999,Preto,#000000,"['products/163162573188814-enika.jpeg', 'products/163162573205715-enika.jpeg']",6140a20323709700183745f8,M,False,,,,,2021-10-08 13:47:59.159000+00:00
925,1,macacao-transpassado-em-linho,6078b579f57a7b0017f69612,Macacão Transpassado em Linho,19800,5caf95599eebb200176e2999,Verde,#2E341D,['products/16268021091802-enika.jpg'],60f707bc2ead6f0017065dfe,P,False,,,,,2021-07-20 17:47:09.322000+00:00
926,1,macacao-lateral,6064737f9d0ee700171d63fc,Macacão Lateral,21500,5caf95599eebb200176e2999,Branco,#FFFFFF,['products/16268020600241-enika.jpg'],60f7078b2ead6f0017065de2,P,False,,,,,2021-07-20 17:47:09.322000+00:00
927,1,calca-de-moletom-masculina,5ecd7e9b3a56060017594e01,Calça de Moletom Masculina,15700,5caf95599eebb200176e2999,Cinza,#A5A5A5,"['products/15949385179311-enika', 'products/15949385187092-enika', 'products/15949385191373-enika', 'products/15949385195714-enika', 'products/15949385200015-enika', 'products/15949385204346-enika']",5f10d495cdeda1001763429d,M,False,,,,,2021-07-19 20:08:46.217000+00:00
928,1,calca-de-moletom-masculina,5ecd7e9b3a56060017594e01,Calça de Moletom Masculina,15700,5caf95599eebb200176e2999,Preto,#000000,"['products/15905255962692-enika', 'products/15905255966483-enika']",5ecd7e9b3a56060017594e02,M,False,,,,,2021-07-19 20:08:46.217000+00:00
929,1,conjunto-manga-ampla,60999729ff218f00179f9f8d,Conjunto Manga Ampla,31900,5caf95599eebb200176e2999,Verde,#2E341D,"['products/16206784436423-enika.jpg', 'products/16208263372416-enika.jpg', 'products/16208263382447-enika.jpg', 'products/16208263385008-enika.jpg', 'products/16208263389639-enika.jpg']",60999729ff218f00179f9f8e,G,True,609998e5ff218f00179f9fa7,tecidos/162067888590313-enika.jpg,Viscose Rayon,,2021-07-21 22:52:23.629000+00:00
930,1,calca-bicolor,606b13faf5e7100017df5a95,Calça Slow Bicolor,19800,5caf95599eebb200176e2999,Preto,#000000,"['products/16176302074821-enika.jpg', 'products/16176302092772-enika.jpg', 'products/16176302115773-enika.jpg', 'products/16176302137374-enika.jpg', 'products/16176302169115-enika.jpg', 'products/16176302190956-enika.jpg', 'products/16176302212217-enika.jpg']",606b13faf5e7100017df5a96,G,False,,,,,2021-07-21 22:52:23.629000+00:00
931,1,blusa-basika,60f076bdcd03ed00176df005,Blusa Basika,9800,5caf95599eebb200176e2999,Natural,#F7F0CF,"['products/16263717736231-enika.jpg', 'products/16263717745062-enika.jpg', 'products/16263717764903-enika.jpg', 'products/16263717805474-enika.jpg', 'products/16263717847915-enika.jpg', 'products/16263717863826-enika.jpg']",60f076bdcd03ed00176df006,P,False,,,,,2021-08-03 15:10:20.953000+00:00
932,1,calca-comphy-linho,5e1f0f00d0ae4900176fb3d4,Calça Comphy Linho,18700,5caf95599eebb200176e2999,Marrom,"RGBA(163, 102, 28, 0.85)","['products/160588175095225-enika.jpg', 'products/160588175122926-enika.jpg', 'products/160588175147827-enika.jpg', 'products/160588175171228-enika.jpg', 'products/160588175276729-enika.jpg', 'products/160588175278330-enika.jpg', 'products/160588175279631-enika.jpg']",5f96c5f989f4fa0017074751,P,False,,,,,2021-08-03 15:10:20.953000+00:00
933,1,calca-jogger-2,5fbaa3b227ff210017b6d96a,Calça Jogger Bee,19700,5caf95599eebb200176e2999,Azul,#00094D,"['products/161160708530921-enika.jpg', 'products/161160708581522-enika.jpg', 'products/161160708632823-enika.jpg', 'products/161160708685724-enika.jpg', 'products/161160708748325-enika.jpg']",5fbaa3b227ff210017b6d96b,P,True,5ff75a288e16630017b81e29,tecidos/16100459936782-enika.jpg,Estampa Bee,,2021-08-03 15:10:20.953000+00:00
